"WSNAME","YEAR","MONTHNUM","FILENAME"
"Fedis Ija Garo",2023,11,"Fedis_Ija_Garo__82_NDVI_mean.tif"
"Fedis Ija Garo",2023,12,"Fedis_Ija_Garo__83_NDVI_mean.tif"
"Gursum Goyla",2017,4,"Gursum_Goyla__3_NDVI_mean.tif"
"Gursum Goyla",2017,6,"Gursum_Goyla__5_NDVI_mean.tif"
"Gursum Goyla",2017,10,"Gursum_Goyla__9_NDVI_mean.tif"
"Gursum Goyla",2017,11,"Gursum_Goyla__10_NDVI_mean.tif"
"Gursum Goyla",2017,12,"Gursum_Goyla__11_NDVI_mean.tif"
"Gursum Goyla",2018,4,"Gursum_Goyla__15_NDVI_mean.tif"
"Gursum Goyla",2018,6,"Gursum_Goyla__17_NDVI_mean.tif"
"Gursum Goyla",2018,10,"Gursum_Goyla__21_NDVI_mean.tif"
"Gursum Goyla",2018,11,"Gursum_Goyla__22_NDVI_mean.tif"
"Gursum Goyla",2018,12,"Gursum_Goyla__23_NDVI_mean.tif"
"Gursum Goyla",2019,4,"Gursum_Goyla__27_NDVI_mean.tif"
"Gursum Goyla",2019,6,"Gursum_Goyla__29_NDVI_mean.tif"
"Gursum Goyla",2019,10,"Gursum_Goyla__33_NDVI_mean.tif"
"Gursum Goyla",2019,11,"Gursum_Goyla__34_NDVI_mean.tif"
"Gursum Goyla",2019,12,"Gursum_Goyla__35_NDVI_mean.tif"
"Gursum Goyla",2020,4,"Gursum_Goyla__39_NDVI_mean.tif"
"Gursum Goyla",2020,6,"Gursum_Goyla__41_NDVI_mean.tif"
"Gursum Goyla",2020,10,"Gursum_Goyla__45_NDVI_mean.tif"
"Gursum Goyla",2020,11,"Gursum_Goyla__46_NDVI_mean.tif"
"Gursum Goyla",2020,12,"Gursum_Goyla__47_NDVI_mean.tif"
"Gursum Goyla",2021,4,"Gursum_Goyla__51_NDVI_mean.tif"
"Gursum Goyla",2021,6,"Gursum_Goyla__53_NDVI_mean.tif"
"Gursum Goyla",2021,10,"Gursum_Goyla__57_NDVI_mean.tif"
"Gursum Goyla",2021,11,"Gursum_Goyla__58_NDVI_mean.tif"
"Gursum Goyla",2021,12,"Gursum_Goyla__59_NDVI_mean.tif"
"Gursum Goyla",2022,4,"Gursum_Goyla__63_NDVI_mean.tif"
"Gursum Goyla",2022,6,"Gursum_Goyla__65_NDVI_mean.tif"
"Gursum Goyla",2022,10,"Gursum_Goyla__69_NDVI_mean.tif"
"Gursum Goyla",2022,11,"Gursum_Goyla__70_NDVI_mean.tif"
"Gursum Goyla",2022,12,"Gursum_Goyla__71_NDVI_mean.tif"
"Gursum Goyla",2023,4,"Gursum_Goyla__75_NDVI_mean.tif"
"Gursum Goyla",2023,6,"Gursum_Goyla__77_NDVI_mean.tif"
"Gursum Goyla",2023,10,"Gursum_Goyla__81_NDVI_mean.tif"
"Gursum Goyla",2023,11,"Gursum_Goyla__82_NDVI_mean.tif"
"Gursum Goyla",2023,12,"Gursum_Goyla__83_NDVI_mean.tif"
"Gursum Wara Ahmed",2017,4,"Gursum_Wara_Ahmed__3_NDVI_mean.tif"
"Gursum Wara Ahmed",2017,6,"Gursum_Wara_Ahmed__5_NDVI_mean.tif"
"Gursum Wara Ahmed",2017,10,"Gursum_Wara_Ahmed__9_NDVI_mean.tif"
"Gursum Wara Ahmed",2017,11,"Gursum_Wara_Ahmed__10_NDVI_mean.tif"
"Gursum Wara Ahmed",2017,12,"Gursum_Wara_Ahmed__11_NDVI_mean.tif"
"Gursum Wara Ahmed",2018,4,"Gursum_Wara_Ahmed__15_NDVI_mean.tif"
"Gursum Wara Ahmed",2018,6,"Gursum_Wara_Ahmed__17_NDVI_mean.tif"
"Gursum Wara Ahmed",2018,10,"Gursum_Wara_Ahmed__21_NDVI_mean.tif"
"Gursum Wara Ahmed",2018,11,"Gursum_Wara_Ahmed__22_NDVI_mean.tif"
"Gursum Wara Ahmed",2018,12,"Gursum_Wara_Ahmed__23_NDVI_mean.tif"
"Gursum Wara Ahmed",2019,4,"Gursum_Wara_Ahmed__27_NDVI_mean.tif"
"Gursum Wara Ahmed",2019,6,"Gursum_Wara_Ahmed__29_NDVI_mean.tif"
"Gursum Wara Ahmed",2019,10,"Gursum_Wara_Ahmed__33_NDVI_mean.tif"
"Gursum Wara Ahmed",2019,11,"Gursum_Wara_Ahmed__34_NDVI_mean.tif"
"Gursum Wara Ahmed",2019,12,"Gursum_Wara_Ahmed__35_NDVI_mean.tif"
"Gursum Wara Ahmed",2020,4,"Gursum_Wara_Ahmed__39_NDVI_mean.tif"
"Gursum Wara Ahmed",2020,6,"Gursum_Wara_Ahmed__41_NDVI_mean.tif"
"Gursum Wara Ahmed",2020,10,"Gursum_Wara_Ahmed__45_NDVI_mean.tif"
"Gursum Wara Ahmed",2020,11,"Gursum_Wara_Ahmed__46_NDVI_mean.tif"
"Gursum Wara Ahmed",2020,12,"Gursum_Wara_Ahmed__47_NDVI_mean.tif"
"Gursum Wara Ahmed",2021,4,"Gursum_Wara_Ahmed__51_NDVI_mean.tif"
"Gursum Wara Ahmed",2021,6,"Gursum_Wara_Ahmed__53_NDVI_mean.tif"
"Gursum Wara Ahmed",2021,10,"Gursum_Wara_Ahmed__57_NDVI_mean.tif"
"Gursum Wara Ahmed",2021,11,"Gursum_Wara_Ahmed__58_NDVI_mean.tif"
"Gursum Wara Ahmed",2021,12,"Gursum_Wara_Ahmed__59_NDVI_mean.tif"
"Gursum Wara Ahmed",2022,4,"Gursum_Wara_Ahmed__63_NDVI_mean.tif"
"Gursum Wara Ahmed",2022,6,"Gursum_Wara_Ahmed__65_NDVI_mean.tif"
"Gursum Wara Ahmed",2022,10,"Gursum_Wara_Ahmed__69_NDVI_mean.tif"
"Gursum Wara Ahmed",2022,11,"Gursum_Wara_Ahmed__70_NDVI_mean.tif"
"Gursum Wara Ahmed",2022,12,"Gursum_Wara_Ahmed__71_NDVI_mean.tif"
"Gursum Wara Ahmed",2023,4,"Gursum_Wara_Ahmed__75_NDVI_mean.tif"
"Gursum Wara Ahmed",2023,6,"Gursum_Wara_Ahmed__77_NDVI_mean.tif"
"Gursum Wara Ahmed",2023,10,"Gursum_Wara_Ahmed__81_NDVI_mean.tif"
"Gursum Wara Ahmed",2023,11,"Gursum_Wara_Ahmed__82_NDVI_mean.tif"
"Gursum Wara Ahmed",2023,12,"Gursum_Wara_Ahmed__83_NDVI_mean.tif"
"Gursum Warabeley",2017,4,"Gursum_Warabeley__3_NDVI_mean.tif"
"Gursum Warabeley",2017,6,"Gursum_Warabeley__5_NDVI_mean.tif"
"Gursum Warabeley",2017,10,"Gursum_Warabeley__9_NDVI_mean.tif"
"Gursum Warabeley",2017,11,"Gursum_Warabeley__10_NDVI_mean.tif"
"Gursum Warabeley",2017,12,"Gursum_Warabeley__11_NDVI_mean.tif"
"Gursum Warabeley",2018,4,"Gursum_Warabeley__15_NDVI_mean.tif"
"Gursum Warabeley",2018,6,"Gursum_Warabeley__17_NDVI_mean.tif"
"Gursum Warabeley",2018,10,"Gursum_Warabeley__21_NDVI_mean.tif"
"Gursum Warabeley",2018,11,"Gursum_Warabeley__22_NDVI_mean.tif"
"Gursum Warabeley",2018,12,"Gursum_Warabeley__23_NDVI_mean.tif"
"Gursum Warabeley",2019,4,"Gursum_Warabeley__27_NDVI_mean.tif"
"Gursum Warabeley",2019,6,"Gursum_Warabeley__29_NDVI_mean.tif"
"Gursum Warabeley",2019,10,"Gursum_Warabeley__33_NDVI_mean.tif"
"Gursum Warabeley",2019,11,"Gursum_Warabeley__34_NDVI_mean.tif"
"Gursum Warabeley",2019,12,"Gursum_Warabeley__35_NDVI_mean.tif"
"Gursum Warabeley",2020,4,"Gursum_Warabeley__39_NDVI_mean.tif"
"Gursum Warabeley",2020,6,"Gursum_Warabeley__41_NDVI_mean.tif"
"Gursum Warabeley",2020,10,"Gursum_Warabeley__45_NDVI_mean.tif"
"Gursum Warabeley",2020,11,"Gursum_Warabeley__46_NDVI_mean.tif"
"Gursum Warabeley",2020,12,"Gursum_Warabeley__47_NDVI_mean.tif"
"Gursum Warabeley",2021,4,"Gursum_Warabeley__51_NDVI_mean.tif"
"Gursum Warabeley",2021,6,"Gursum_Warabeley__53_NDVI_mean.tif"
"Gursum Warabeley",2021,10,"Gursum_Warabeley__57_NDVI_mean.tif"
"Gursum Warabeley",2021,11,"Gursum_Warabeley__58_NDVI_mean.tif"
"Gursum Warabeley",2021,12,"Gursum_Warabeley__59_NDVI_mean.tif"
"Gursum Warabeley",2022,4,"Gursum_Warabeley__63_NDVI_mean.tif"
"Gursum Warabeley",2022,6,"Gursum_Warabeley__65_NDVI_mean.tif"
"Gursum Warabeley",2022,10,"Gursum_Warabeley__69_NDVI_mean.tif"
"Gursum Warabeley",2022,11,"Gursum_Warabeley__70_NDVI_mean.tif"
"Gursum Warabeley",2022,12,"Gursum_Warabeley__71_NDVI_mean.tif"
"Gursum Warabeley",2023,4,"Gursum_Warabeley__75_NDVI_mean.tif"
"Gursum Warabeley",2023,6,"Gursum_Warabeley__77_NDVI_mean.tif"
"Gursum Warabeley",2023,10,"Gursum_Warabeley__81_NDVI_mean.tif"
"Gursum Warabeley",2023,11,"Gursum_Warabeley__82_NDVI_mean.tif"
"Gursum Warabeley",2023,12,"Gursum_Warabeley__83_NDVI_mean.tif"
"Jarso Ago",2017,4,"Jarso_Ago__3_NDVI_mean.tif"
"Jarso Ago",2017,6,"Jarso_Ago__5_NDVI_mean.tif"
"Jarso Ago",2017,10,"Jarso_Ago__9_NDVI_mean.tif"
"Jarso Ago",2017,11,"Jarso_Ago__10_NDVI_mean.tif"
"Jarso Ago",2017,12,"Jarso_Ago__11_NDVI_mean.tif"
"Jarso Ago",2018,4,"Jarso_Ago__15_NDVI_mean.tif"
"Jarso Ago",2018,6,"Jarso_Ago__17_NDVI_mean.tif"
"Jarso Ago",2018,10,"Jarso_Ago__21_NDVI_mean.tif"
"Jarso Ago",2018,11,"Jarso_Ago__22_NDVI_mean.tif"
"Jarso Ago",2018,12,"Jarso_Ago__23_NDVI_mean.tif"
"Jarso Ago",2019,4,"Jarso_Ago__27_NDVI_mean.tif"
"Jarso Ago",2019,6,"Jarso_Ago__29_NDVI_mean.tif"
"Jarso Ago",2019,10,"Jarso_Ago__33_NDVI_mean.tif"
"Jarso Ago",2019,11,"Jarso_Ago__34_NDVI_mean.tif"
"Jarso Ago",2019,12,"Jarso_Ago__35_NDVI_mean.tif"
"Jarso Ago",2020,4,"Jarso_Ago__39_NDVI_mean.tif"
"Jarso Ago",2020,6,"Jarso_Ago__41_NDVI_mean.tif"
"Jarso Ago",2020,10,"Jarso_Ago__45_NDVI_mean.tif"
"Jarso Ago",2020,11,"Jarso_Ago__46_NDVI_mean.tif"
"Jarso Ago",2020,12,"Jarso_Ago__47_NDVI_mean.tif"
"Jarso Ago",2021,4,"Jarso_Ago__51_NDVI_mean.tif"
"Jarso Ago",2021,6,"Jarso_Ago__53_NDVI_mean.tif"
"Jarso Ago",2021,10,"Jarso_Ago__57_NDVI_mean.tif"
"Jarso Ago",2021,11,"Jarso_Ago__58_NDVI_mean.tif"
"Jarso Ago",2021,12,"Jarso_Ago__59_NDVI_mean.tif"
"Jarso Ago",2022,4,"Jarso_Ago__63_NDVI_mean.tif"
"Jarso Ago",2022,6,"Jarso_Ago__65_NDVI_mean.tif"
"Jarso Ago",2022,10,"Jarso_Ago__69_NDVI_mean.tif"
"Jarso Ago",2022,11,"Jarso_Ago__70_NDVI_mean.tif"
"Jarso Ago",2022,12,"Jarso_Ago__71_NDVI_mean.tif"
"Jarso Ago",2023,4,"Jarso_Ago__75_NDVI_mean.tif"
"Jarso Ago",2023,6,"Jarso_Ago__77_NDVI_mean.tif"
"Jarso Ago",2023,10,"Jarso_Ago__81_NDVI_mean.tif"
"Jarso Ago",2023,11,"Jarso_Ago__82_NDVI_mean.tif"
"Jarso Ago",2023,12,"Jarso_Ago__83_NDVI_mean.tif"
"Jarso Ali Elemo",2017,4,"Jarso_Ali_Elemo__3_NDVI_mean.tif"
"Jarso Ali Elemo",2017,6,"Jarso_Ali_Elemo__5_NDVI_mean.tif"
"Jarso Ali Elemo",2017,10,"Jarso_Ali_Elemo__9_NDVI_mean.tif"
"Jarso Ali Elemo",2017,11,"Jarso_Ali_Elemo__10_NDVI_mean.tif"
"Jarso Ali Elemo",2017,12,"Jarso_Ali_Elemo__11_NDVI_mean.tif"
"Jarso Ali Elemo",2018,4,"Jarso_Ali_Elemo__15_NDVI_mean.tif"
"Jarso Ali Elemo",2018,6,"Jarso_Ali_Elemo__17_NDVI_mean.tif"
"Jarso Ali Elemo",2018,10,"Jarso_Ali_Elemo__21_NDVI_mean.tif"
"Jarso Ali Elemo",2018,11,"Jarso_Ali_Elemo__22_NDVI_mean.tif"
"Jarso Ali Elemo",2018,12,"Jarso_Ali_Elemo__23_NDVI_mean.tif"
"Jarso Ali Elemo",2019,4,"Jarso_Ali_Elemo__27_NDVI_mean.tif"
"Jarso Ali Elemo",2019,6,"Jarso_Ali_Elemo__29_NDVI_mean.tif"
"Jarso Ali Elemo",2019,10,"Jarso_Ali_Elemo__33_NDVI_mean.tif"
"Jarso Ali Elemo",2019,11,"Jarso_Ali_Elemo__34_NDVI_mean.tif"
"Jarso Ali Elemo",2019,12,"Jarso_Ali_Elemo__35_NDVI_mean.tif"
"Jarso Ali Elemo",2020,4,"Jarso_Ali_Elemo__39_NDVI_mean.tif"
"Jarso Ali Elemo",2020,6,"Jarso_Ali_Elemo__41_NDVI_mean.tif"
"Jarso Ali Elemo",2020,10,"Jarso_Ali_Elemo__45_NDVI_mean.tif"
"Jarso Ali Elemo",2020,11,"Jarso_Ali_Elemo__46_NDVI_mean.tif"
"Jarso Ali Elemo",2020,12,"Jarso_Ali_Elemo__47_NDVI_mean.tif"
"Jarso Ali Elemo",2021,4,"Jarso_Ali_Elemo__51_NDVI_mean.tif"
"Jarso Ali Elemo",2021,6,"Jarso_Ali_Elemo__53_NDVI_mean.tif"
"Jarso Ali Elemo",2021,10,"Jarso_Ali_Elemo__57_NDVI_mean.tif"
"Jarso Ali Elemo",2021,11,"Jarso_Ali_Elemo__58_NDVI_mean.tif"
"Jarso Ali Elemo",2021,12,"Jarso_Ali_Elemo__59_NDVI_mean.tif"
"Jarso Ali Elemo",2022,4,"Jarso_Ali_Elemo__63_NDVI_mean.tif"
"Jarso Ali Elemo",2022,6,"Jarso_Ali_Elemo__65_NDVI_mean.tif"
"Jarso Ali Elemo",2022,10,"Jarso_Ali_Elemo__69_NDVI_mean.tif"
"Jarso Ali Elemo",2022,11,"Jarso_Ali_Elemo__70_NDVI_mean.tif"
"Jarso Ali Elemo",2022,12,"Jarso_Ali_Elemo__71_NDVI_mean.tif"
"Jarso Ali Elemo",2023,4,"Jarso_Ali_Elemo__75_NDVI_mean.tif"
"Jarso Ali Elemo",2023,6,"Jarso_Ali_Elemo__77_NDVI_mean.tif"
"Jarso Ali Elemo",2023,10,"Jarso_Ali_Elemo__81_NDVI_mean.tif"
"Jarso Ali Elemo",2023,11,"Jarso_Ali_Elemo__82_NDVI_mean.tif"
"Jarso Ali Elemo",2023,12,"Jarso_Ali_Elemo__83_NDVI_mean.tif"
"Jarso Ebo",2017,4,"Jarso_Ebo__3_NDVI_mean.tif"
"Jarso Ebo",2017,6,"Jarso_Ebo__5_NDVI_mean.tif"
"Jarso Ebo",2017,10,"Jarso_Ebo__9_NDVI_mean.tif"
"Jarso Ebo",2017,11,"Jarso_Ebo__10_NDVI_mean.tif"
"Jarso Ebo",2017,12,"Jarso_Ebo__11_NDVI_mean.tif"
"Jarso Ebo",2018,4,"Jarso_Ebo__15_NDVI_mean.tif"
"Jarso Ebo",2018,6,"Jarso_Ebo__17_NDVI_mean.tif"
"Jarso Ebo",2018,10,"Jarso_Ebo__21_NDVI_mean.tif"
"Jarso Ebo",2018,11,"Jarso_Ebo__22_NDVI_mean.tif"
"Jarso Ebo",2018,12,"Jarso_Ebo__23_NDVI_mean.tif"
"Jarso Ebo",2019,4,"Jarso_Ebo__27_NDVI_mean.tif"
"Jarso Ebo",2019,6,"Jarso_Ebo__29_NDVI_mean.tif"
"Jarso Ebo",2019,10,"Jarso_Ebo__33_NDVI_mean.tif"
"Jarso Ebo",2019,11,"Jarso_Ebo__34_NDVI_mean.tif"
"Jarso Ebo",2019,12,"Jarso_Ebo__35_NDVI_mean.tif"
"Jarso Ebo",2020,4,"Jarso_Ebo__39_NDVI_mean.tif"
"Jarso Ebo",2020,6,"Jarso_Ebo__41_NDVI_mean.tif"
"Jarso Ebo",2020,10,"Jarso_Ebo__45_NDVI_mean.tif"
"Jarso Ebo",2020,11,"Jarso_Ebo__46_NDVI_mean.tif"
"Jarso Ebo",2020,12,"Jarso_Ebo__47_NDVI_mean.tif"
"Jarso Ebo",2021,4,"Jarso_Ebo__51_NDVI_mean.tif"
"Jarso Ebo",2021,6,"Jarso_Ebo__53_NDVI_mean.tif"
"Jarso Ebo",2021,10,"Jarso_Ebo__57_NDVI_mean.tif"
"Jarso Ebo",2021,11,"Jarso_Ebo__58_NDVI_mean.tif"
"Jarso Ebo",2021,12,"Jarso_Ebo__59_NDVI_mean.tif"
"Jarso Ebo",2022,4,"Jarso_Ebo__63_NDVI_mean.tif"
"Jarso Ebo",2022,6,"Jarso_Ebo__65_NDVI_mean.tif"
"Jarso Ebo",2022,10,"Jarso_Ebo__69_NDVI_mean.tif"
"Jarso Ebo",2022,11,"Jarso_Ebo__70_NDVI_mean.tif"
"Jarso Ebo",2022,12,"Jarso_Ebo__71_NDVI_mean.tif"
"Jarso Ebo",2023,4,"Jarso_Ebo__75_NDVI_mean.tif"
"Jarso Ebo",2023,6,"Jarso_Ebo__77_NDVI_mean.tif"
"Jarso Ebo",2023,10,"Jarso_Ebo__81_NDVI_mean.tif"
"Jarso Ebo",2023,11,"Jarso_Ebo__82_NDVI_mean.tif"
"Jarso Ebo",2023,12,"Jarso_Ebo__83_NDVI_mean.tif"
"Jarso Ija Lencha",2017,4,"Jarso_Ija_Lencha__3_NDVI_mean.tif"
"Jarso Ija Lencha",2017,6,"Jarso_Ija_Lencha__5_NDVI_mean.tif"
"Jarso Ija Lencha",2017,10,"Jarso_Ija_Lencha__9_NDVI_mean.tif"
"Jarso Ija Lencha",2017,11,"Jarso_Ija_Lencha__10_NDVI_mean.tif"
"Jarso Ija Lencha",2017,12,"Jarso_Ija_Lencha__11_NDVI_mean.tif"
"Jarso Ija Lencha",2018,4,"Jarso_Ija_Lencha__15_NDVI_mean.tif"
"Jarso Ija Lencha",2018,6,"Jarso_Ija_Lencha__17_NDVI_mean.tif"
"Jarso Ija Lencha",2018,10,"Jarso_Ija_Lencha__21_NDVI_mean.tif"
"Jarso Ija Lencha",2018,11,"Jarso_Ija_Lencha__22_NDVI_mean.tif"
"Jarso Ija Lencha",2018,12,"Jarso_Ija_Lencha__23_NDVI_mean.tif"
"Jarso Ija Lencha",2019,4,"Jarso_Ija_Lencha__27_NDVI_mean.tif"
"Jarso Ija Lencha",2019,6,"Jarso_Ija_Lencha__29_NDVI_mean.tif"
"Jarso Ija Lencha",2019,10,"Jarso_Ija_Lencha__33_NDVI_mean.tif"
"Jarso Ija Lencha",2019,11,"Jarso_Ija_Lencha__34_NDVI_mean.tif"
"Jarso Ija Lencha",2019,12,"Jarso_Ija_Lencha__35_NDVI_mean.tif"
"Jarso Ija Lencha",2020,4,"Jarso_Ija_Lencha__39_NDVI_mean.tif"
"Jarso Ija Lencha",2020,6,"Jarso_Ija_Lencha__41_NDVI_mean.tif"
"Jarso Ija Lencha",2020,10,"Jarso_Ija_Lencha__45_NDVI_mean.tif"
"Jarso Ija Lencha",2020,11,"Jarso_Ija_Lencha__46_NDVI_mean.tif"
"Jarso Ija Lencha",2020,12,"Jarso_Ija_Lencha__47_NDVI_mean.tif"
"Jarso Ija Lencha",2021,4,"Jarso_Ija_Lencha__51_NDVI_mean.tif"
"Jarso Ija Lencha",2021,6,"Jarso_Ija_Lencha__53_NDVI_mean.tif"
"Jarso Ija Lencha",2021,10,"Jarso_Ija_Lencha__57_NDVI_mean.tif"
"Jarso Ija Lencha",2021,11,"Jarso_Ija_Lencha__58_NDVI_mean.tif"
"Jarso Ija Lencha",2021,12,"Jarso_Ija_Lencha__59_NDVI_mean.tif"
"Jarso Ija Lencha",2022,4,"Jarso_Ija_Lencha__63_NDVI_mean.tif"
"Jarso Ija Lencha",2022,6,"Jarso_Ija_Lencha__65_NDVI_mean.tif"
"Jarso Ija Lencha",2022,10,"Jarso_Ija_Lencha__69_NDVI_mean.tif"
"Jarso Ija Lencha",2022,11,"Jarso_Ija_Lencha__70_NDVI_mean.tif"
"Jarso Ija Lencha",2022,12,"Jarso_Ija_Lencha__71_NDVI_mean.tif"
"Jarso Ija Lencha",2023,4,"Jarso_Ija_Lencha__75_NDVI_mean.tif"
"Jarso Ija Lencha",2023,6,"Jarso_Ija_Lencha__77_NDVI_mean.tif"
"Jarso Ija Lencha",2023,10,"Jarso_Ija_Lencha__81_NDVI_mean.tif"
"Jarso Ija Lencha",2023,11,"Jarso_Ija_Lencha__82_NDVI_mean.tif"
"Jarso Ija Lencha",2023,12,"Jarso_Ija_Lencha__83_NDVI_mean.tif"
"Jarso Wara Chala",2017,4,"Jarso_Wara_Chala__3_NDVI_mean.tif"
"Jarso Wara Chala",2017,6,"Jarso_Wara_Chala__5_NDVI_mean.tif"
"Jarso Wara Chala",2017,10,"Jarso_Wara_Chala__9_NDVI_mean.tif"
"Jarso Wara Chala",2017,11,"Jarso_Wara_Chala__10_NDVI_mean.tif"
"Jarso Wara Chala",2017,12,"Jarso_Wara_Chala__11_NDVI_mean.tif"
"Jarso Wara Chala",2018,4,"Jarso_Wara_Chala__15_NDVI_mean.tif"
"Jarso Wara Chala",2018,6,"Jarso_Wara_Chala__17_NDVI_mean.tif"
"Jarso Wara Chala",2018,10,"Jarso_Wara_Chala__21_NDVI_mean.tif"
"Jarso Wara Chala",2018,11,"Jarso_Wara_Chala__22_NDVI_mean.tif"
"Jarso Wara Chala",2018,12,"Jarso_Wara_Chala__23_NDVI_mean.tif"
"Jarso Wara Chala",2019,4,"Jarso_Wara_Chala__27_NDVI_mean.tif"
"Jarso Wara Chala",2019,6,"Jarso_Wara_Chala__29_NDVI_mean.tif"
"Jarso Wara Chala",2019,10,"Jarso_Wara_Chala__33_NDVI_mean.tif"
"Jarso Wara Chala",2019,11,"Jarso_Wara_Chala__34_NDVI_mean.tif"
"Jarso Wara Chala",2019,12,"Jarso_Wara_Chala__35_NDVI_mean.tif"
"Jarso Wara Chala",2020,4,"Jarso_Wara_Chala__39_NDVI_mean.tif"
"Jarso Wara Chala",2020,6,"Jarso_Wara_Chala__41_NDVI_mean.tif"
"Jarso Wara Chala",2020,10,"Jarso_Wara_Chala__45_NDVI_mean.tif"
"Jarso Wara Chala",2020,11,"Jarso_Wara_Chala__46_NDVI_mean.tif"
"Jarso Wara Chala",2020,12,"Jarso_Wara_Chala__47_NDVI_mean.tif"
"Jarso Wara Chala",2021,4,"Jarso_Wara_Chala__51_NDVI_mean.tif"
"Jarso Wara Chala",2021,6,"Jarso_Wara_Chala__53_NDVI_mean.tif"
"Jarso Wara Chala",2021,10,"Jarso_Wara_Chala__57_NDVI_mean.tif"
"Jarso Wara Chala",2021,11,"Jarso_Wara_Chala__58_NDVI_mean.tif"
"Jarso Wara Chala",2021,12,"Jarso_Wara_Chala__59_NDVI_mean.tif"
"Jarso Wara Chala",2022,4,"Jarso_Wara_Chala__63_NDVI_mean.tif"
"Jarso Wara Chala",2022,6,"Jarso_Wara_Chala__65_NDVI_mean.tif"
"Jarso Wara Chala",2022,10,"Jarso_Wara_Chala__69_NDVI_mean.tif"
"Jarso Wara Chala",2022,11,"Jarso_Wara_Chala__70_NDVI_mean.tif"
"Jarso Wara Chala",2022,12,"Jarso_Wara_Chala__71_NDVI_mean.tif"
"Jarso Wara Chala",2023,4,"Jarso_Wara_Chala__75_NDVI_mean.tif"
"Jarso Wara Chala",2023,6,"Jarso_Wara_Chala__77_NDVI_mean.tif"
"Jarso Wara Chala",2023,10,"Jarso_Wara_Chala__81_NDVI_mean.tif"
"Jarso Wara Chala",2023,11,"Jarso_Wara_Chala__82_NDVI_mean.tif"
"Jarso Wara Chala",2023,12,"Jarso_Wara_Chala__83_NDVI_mean.tif"
"Melkabelo Agdora",2017,4,"Melkabelo_Agdora__3_NDVI_mean.tif"
"Melkabelo Agdora",2017,6,"Melkabelo_Agdora__5_NDVI_mean.tif"
"Melkabelo Agdora",2017,10,"Melkabelo_Agdora__9_NDVI_mean.tif"
"Melkabelo Agdora",2017,11,"Melkabelo_Agdora__10_NDVI_mean.tif"
"Melkabelo Agdora",2017,12,"Melkabelo_Agdora__11_NDVI_mean.tif"
"Melkabelo Agdora",2018,4,"Melkabelo_Agdora__15_NDVI_mean.tif"
"Melkabelo Agdora",2018,6,"Melkabelo_Agdora__17_NDVI_mean.tif"
"Melkabelo Agdora",2018,10,"Melkabelo_Agdora__21_NDVI_mean.tif"
"Melkabelo Agdora",2018,11,"Melkabelo_Agdora__22_NDVI_mean.tif"
"Melkabelo Agdora",2018,12,"Melkabelo_Agdora__23_NDVI_mean.tif"
"Melkabelo Agdora",2019,4,"Melkabelo_Agdora__27_NDVI_mean.tif"
"Melkabelo Agdora",2019,6,"Melkabelo_Agdora__29_NDVI_mean.tif"
"Melkabelo Agdora",2019,10,"Melkabelo_Agdora__33_NDVI_mean.tif"
"Melkabelo Agdora",2019,11,"Melkabelo_Agdora__34_NDVI_mean.tif"
"Melkabelo Agdora",2019,12,"Melkabelo_Agdora__35_NDVI_mean.tif"
"Melkabelo Agdora",2020,4,"Melkabelo_Agdora__39_NDVI_mean.tif"
"Melkabelo Agdora",2020,6,"Melkabelo_Agdora__41_NDVI_mean.tif"
"Melkabelo Agdora",2020,10,"Melkabelo_Agdora__45_NDVI_mean.tif"
"Melkabelo Agdora",2020,11,"Melkabelo_Agdora__46_NDVI_mean.tif"
"Melkabelo Agdora",2020,12,"Melkabelo_Agdora__47_NDVI_mean.tif"
"Melkabelo Agdora",2021,4,"Melkabelo_Agdora__51_NDVI_mean.tif"
"Melkabelo Agdora",2021,6,"Melkabelo_Agdora__53_NDVI_mean.tif"
"Melkabelo Agdora",2021,10,"Melkabelo_Agdora__57_NDVI_mean.tif"
"Melkabelo Agdora",2021,11,"Melkabelo_Agdora__58_NDVI_mean.tif"
"Melkabelo Agdora",2021,12,"Melkabelo_Agdora__59_NDVI_mean.tif"
"Melkabelo Agdora",2022,4,"Melkabelo_Agdora__63_NDVI_mean.tif"
"Melkabelo Agdora",2022,6,"Melkabelo_Agdora__65_NDVI_mean.tif"
"Melkabelo Agdora",2022,10,"Melkabelo_Agdora__69_NDVI_mean.tif"
"Melkabelo Agdora",2022,11,"Melkabelo_Agdora__70_NDVI_mean.tif"
"Melkabelo Agdora",2022,12,"Melkabelo_Agdora__71_NDVI_mean.tif"
"Melkabelo Agdora",2023,4,"Melkabelo_Agdora__75_NDVI_mean.tif"
"Melkabelo Agdora",2023,6,"Melkabelo_Agdora__77_NDVI_mean.tif"
"Melkabelo Agdora",2023,10,"Melkabelo_Agdora__81_NDVI_mean.tif"
"Melkabelo Agdora",2023,11,"Melkabelo_Agdora__82_NDVI_mean.tif"
"Melkabelo Agdora",2023,12,"Melkabelo_Agdora__83_NDVI_mean.tif"
"Melkabelo Gola gale",2017,4,"Melkabelo_Gola_gale__3_NDVI_mean.tif"
"Melkabelo Gola gale",2017,6,"Melkabelo_Gola_gale__5_NDVI_mean.tif"
"Melkabelo Gola gale",2017,10,"Melkabelo_Gola_gale__9_NDVI_mean.tif"
